,id,a_node,b_node,length,road_type,geometry,capacity_cars,type_bike,speed_car,speed_bike,free_flow_time_car
320,102151,6623,6634,243.25007000000002,10,"LINESTRING (85757.8125 446828.8125, 85982.4140625 446922.21875)",1200.0,None,35.0,15,25.020007200000002
321,102152,6634,6623,243.25007000000002,10,"LINESTRING (85757.8125 446828.8125, 85982.4140625 446922.21875)",1200.0,None,35.0,15,25.020007200000002
322,102161,6612,6635,568.21984,8,"LINESTRING (85582.84375 447344.875, 85662.4375 447302.34375, 85756.109375 447240.4375, 85841.21875 447174.6875, 85906.984375 447093.4375, 85971.78125 446954.15625)",1800.0,None,50.0,15,40.911828480000004
323,102162,6635,6612,568.21984,8,"LINESTRING (85582.84375 447344.875, 85662.4375 447302.34375, 85756.109375 447240.4375, 85841.21875 447174.6875, 85906.984375 447093.4375, 85971.78125 446954.15625)",1800.0,None,50.0,15,40.911828480000004
324,102171,6618,6635,169.95244000000002,8,"LINESTRING (86128.5 447019.90625, 85971.78125 446954.15625)",1800.0,None,50.0,15,12.236575680000001
325,102172,6635,6618,169.95244000000002,8,"LINESTRING (86128.5 447019.90625, 85971.78125 446954.15625)",1800.0,None,50.0,15,12.236575680000001
326,102181,6634,6635,33.66097,10,"LINESTRING (85982.4140625 446922.21875, 85971.78125 446954.15625)",1200.0,None,35.0,15,3.4622711999999995
327,102182,6635,6634,33.66097,10,"LINESTRING (85982.4140625 446922.21875, 85971.78125 446954.15625)",1200.0,None,35.0,15,3.4622711999999995
328,102231,6621,6637,85.72724,8,"LINESTRING (85584.9296875 446620.46875, 85614.9140625 446540.15625)",1800.0,None,50.0,15,6.17236128
329,102232,6637,6621,85.72724,8,"LINESTRING (85584.9296875 446620.46875, 85614.9140625 446540.15625)",1800.0,None,50.0,15,6.17236128
330,102261,6637,6638,266.06089,10,"LINESTRING (85614.9140625 446540.15625, 85859.59375 446644.65625)",1200.0,None,35.0,15,27.366262971428572
331,102262,6638,6637,266.06089,10,"LINESTRING (85614.9140625 446540.15625, 85859.59375 446644.65625)",1200.0,None,35.0,15,27.366262971428572
332,102291,6633,6640,171.12458,8,"LINESTRING (85695.4609375 446314.875, 85636.1875 446475.40625)",1800.0,None,50.0,15,12.32096976
333,102292,6640,6633,171.12458,8,"LINESTRING (85695.4609375 446314.875, 85636.1875 446475.40625)",1800.0,None,50.0,15,12.32096976
